,id,popularity,budget,revenue,original_title,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,leading_actor,genre,director_name,production_company,release_month,profit,profit_adj
0,135397,32.985763,150000000,1513528810,Jurassic World,124,2015-06-09,5562,6.5,2015,137999939.280026,1392445892.5238,Chris Pratt,Action,Colin Trevorrow,Universal Studios,June,1363528810,1254445953.243774
1,76341,28.419936,150000000,378436354,Mad Max: Fury Road,120,2015-05-13,6185,7.1,2015,137999939.280026,348161292.489031,Tom Hardy,Action,George Miller,Village Roadshow Pictures,May,228436354,210161353.20900503
2,262500,13.112507,110000000,295238201,Insurgent,119,2015-03-18,2480,6.3,2015,101199955.472019,271619025.407628,Shailene Woodley,Adventure,Robert Schwentke,Summit Entertainment,March,185238201,170419069.93560898
3,140607,11.173104,200000000,2068178225,Star Wars: The Force Awakens,136,2015-12-15,5292,7.5,2015,183999919.040035,1902723129.80182,Harrison Ford,Action,J.J. Abrams,Lucasfilm,December,1868178225,1718723210.761785
4,168259,9.335014,190000000,1506249360,Furious 7,137,2015-04-01,2947,7.3,2015,174799923.088033,1385748801.47052,Vin Diesel,Action,James Wan,Universal Pictures,April,1316249360,1210948878.382487
5,281957,9.1107,135000000,532950503,The Revenant,156,2015-12-25,3929,7.2,2015,124199945.352024,490314247.021731,Leonardo DiCaprio,Western,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Regency Enterprises,December,397950503,366114301.669707
6,87101,8.654359,155000000,440603537,Terminator Genisys,125,2015-06-23,2598,5.8,2015,142599937.256027,405355075.683766,Arnold Schwarzenegger,Science Fiction,Alan Taylor,Paramount Pictures,June,285603537,262755138.427739
7,286217,7.6674,108000000,595380321,The Martian,141,2015-09-30,4572,7.6,2015,99359956.2816192,547749654.310152,Matt Damon,Drama,Ridley Scott,Twentieth Century Fox Film Corporation,September,487380321,448389698.02853286
8,211672,7.40416499999999,74000000,1156730962,Minions,91,2015-06-17,2893,6.5,2015,68079970.0448131,1064192016.79551,Sandra Bullock,Family,Kyle Balda,Universal Pictures,June,1082730962,996112046.7506969
9,150540,6.326804,175000000,853708609,Inside Out,94,2015-06-09,3935,8.0,2015,160999929.160031,785411574.698907,Amy Poehler,Comedy,Pete Docter,Walt Disney Pictures,June,678708609,624411645.538876
10,206647,6.200282,245000000,880674609,Spectre,148,2015-10-26,3254,6.2,2015,225399900.824043,810220283.783075,Daniel Craig,Action,Sam Mendes,Columbia Pictures,October,635674609,584820382.9590319
